time,Temp (C),average humidity %,average wind speed
2014-06-22,19.6,94.66666667,11.31666667
2014-06-23,21.15416667,89.95833333,15.1875
2014-06-24,21.93333333,83.70833333,24.22083333
2014-06-25,21.84166667,88.66666667,28.4125
2014-06-26,22.1125,86.04166667,27.54583333
2014-06-27,22.26666667,78.29166667,29.72083333
2014-06-28,22.47083333,80.33333333,23.04166667
2014-06-29,22.47916667,83.54166667,10.61666667
2014-06-30,22.75416667,87.625,17.675
2014-07-01,23.31666667,83.875,27.37083333
2014-07-02,22.4375,82.5,15.01666667
2014-07-03,22.95833333,87.16666667,20.02083333
2014-07-04,23.22083333,85.875,27.7125
2014-07-05,22.09166667,89.58333333,20.07083333
2014-07-06,22.99166667,87.41666667,10.09166667
2014-07-07,23.75833333,83.5,27.18333333
2014-07-08,24.33333333,85.0,19.77083333
2014-07-09,24.74166667,78.79166667,21.15833333
2014-07-10,23.75,85.5,32.15416667
2014-07-11,23.4375,89.20833333,10.075
2014-07-12,23.35,86.125,12.87916667
2014-07-13,23.95416667,85.0,18.27083333
2014-07-14,24.99583333,85.16666667,27.06666667
2014-07-15,23.74166667,91.20833333,21.97083333
2014-07-16,24.19166667,90.125,26.75
2014-07-17,24.35416667,90.25,22.80833333
2014-07-18,25.13333333,87.66666667,20.45
2014-07-19,25.6875,88.0,21.8375
2014-07-20,26.08333333,85.29166667,40.37916667
2014-07-21,25.6375,87.20833333,25.07083333
2014-07-22,24.69583333,85.95833333,16.6625
2014-07-23,23.75416667,84.54166667,18.79166667
2014-07-24,22.85833333,85.08333333,41.5
2014-07-25,23.125,80.25,44.90833333
2014-07-26,22.9375,81.83333333,15.64166667
2014-07-27,23.02916667,83.29166667,21.325
2014-07-28,22.46666667,86.79166667,27.80833333
2014-07-29,22.3,92.0,27.70833333
2014-07-30,22.65833333,95.58333333,15.55833333
2014-07-31,23.47916667,93.625,21.52916667
2014-08-01,24.7,91.41666667,20.0375
2014-08-02,26.0625,87.08333333,26.24166667
2014-08-03,26.2875,85.79166667,23.6625
2014-08-04,24.59166667,73.91666667,30.15833333
2014-08-05,23.94583333,79.58333333,13.33333333
2014-08-06,24.4875,82.83333333,16.93333333
2014-08-07,24.7375,80.0,14.325
2014-08-08,24.38333333,87.83333333,17.50416667
2014-08-09,24.28333333,79.08333333,9.745833333
2014-08-10,24.45833333,79.70833333,10.2375
2014-08-11,25.17916667,79.625,18.37916667
2014-08-12,25.5125,82.04166667,10.0875
2014-08-13,24.3375,82.91666667,16.2625
2014-08-14,24.2,82.5,15.625
2014-08-15,24.83333333,85.75,13.975
2014-08-16,24.87083333,89.125,17.2
