location_id,time,Temp (C),average humidity %,average wind speed
0,9/27/2013,20.14583333,70.45833333,32.4125
0,9/28/2013,19.37083333,72.41666667,17.7625
0,9/29/2013,19.85833333,80.20833333,15.45
0,9/30/2013,20.17916667,81.83333333,11.34166667
0,10/1/2013,17.07916667,72.20833333,37.45833333
0,10/2/2013,17.3875,58.625,20.55833333
0,10/3/2013,19.175,69.41666667,24.5375
0,10/4/2013,20.0875,73.41666667,25.5625
0,10/5/2013,19.92916667,75.625,18.475
0,10/6/2013,19.80833333,87,14.57916667
0,10/7/2013,18.21666667,61.20833333,30.92916667
0,10/8/2013,18.46666667,61.08333333,15.7375
0,10/9/2013,20.26666667,78.54166667,38.875
0,10/10/2013,18.7375,58.41666667,41.23333333
0,10/11/2013,18.86666667,62.125,17.50416667
0,10/12/2013,19.2125,85.75,27.02916667
0,10/13/2013,17.3375,79.5,41.00833333
0,10/14/2013,10.83333333,55.79166667,51.82083333
0,10/15/2013,11.84166667,56.16666667,31.0375
0,10/16/2013,15.475,59.5,12.82916667
0,10/17/2013,16.55,64.91666667,19.4625
0,10/18/2013,16.77916667,70.33333333,24.45416667
0,10/19/2013,15.55833333,74.16666667,18.7125
0,10/20/2013,14.13333333,74.66666667,26.42916667
0,10/21/2013,15.2,75.33333333,11.2625
0,10/22/2013,16.13333333,76.29166667,20.225
0,10/23/2013,12.81666667,60.58333333,28.69583333
0,10/24/2013,12.6,56.5,31.2875
0,10/25/2013,13.00416667,52.58333333,27.95
0,10/26/2013,15.06666667,54.5,23.2875
0,10/27/2013,15.80416667,71.625,26.9375
0,10/28/2013,12.85416667,81.04166667,25.2625
0,10/29/2013,11.60416667,57.04166667,19.2125
0,10/30/2013,13.525,57.25,10.85416667
0,10/31/2013,14.25,63.875,7.354166667
0,11/1/2013,14.11666667,70.66666667,17.57083333
0,11/2/2013,14.07083333,77,28.05416667
0,11/3/2013,13.62083333,60.41666667,30.05416667
0,11/4/2013,14.23333333,57.91666667,22.10416667
0,11/5/2013,14.95416667,75.20833333,34.19166667
0,11/6/2013,12.75416667,58.33333333,32.20833333
0,11/7/2013,12.97916667,53.5,18.56666667
0,11/8/2013,14.68333333,79.33333333,27.25833333
0,11/9/2013,7.25,66.20833333,42.3
0,11/10/2013,7.5,51.66666667,30.41666667
0,11/11/2013,9.2125,56.29166667,23.87083333
0,11/12/2013,8.454166667,50.91666667,17.10833333
0,11/13/2013,12.07083333,62,32.075
0,11/14/2013,12.15416667,51,29.2375
0,11/15/2013,12.62916667,66.95833333,30.51666667
0,11/16/2013,7.945833333,58.375,42.50833333
0,11/17/2013,5.558333333,54.45833333,50.47916667
0,11/18/2013,4.983333333,56,42.35416667
0,11/19/2013,6.0125,46.45833333,26.3125
0,11/20/2013,5.954166667,52.29166667,15.88333333
0,11/21/2013,9.483333333,57.45833333,22.36666667
0,11/22/2013,10.95833333,69.875,28.85833333
0,11/23/2013,11.37083333,83.375,18.025
0,11/24/2013,6.104166667,72.25,49.96666667
0,11/25/2013,7.079166667,45.79166667,35.95416667
0,11/26/2013,3.166666667,57.70833333,36.52083333
0,11/27/2013,1.283333333,55.91666667,39.92083333
0,11/28/2013,5.904166667,49.83333333,31.43333333
0,11/29/2013,8.416666667,60.41666667,35.575
0,11/30/2013,6.020833333,53.29166667,28.37083333
0,12/1/2013,8.670833333,62.45833333,33.99583333
0,12/2/2013,9.304166667,65.375,18.56666667
0,12/3/2013,9.316666667,64.79166667,21.0125
0,12/4/2013,7.5875,64.70833333,27.12083333
0,12/5/2013,6.083333333,55.29166667,23.95
0,12/6/2013,8.066666667,59.75,16.25416667
0,12/7/2013,8.745833333,76.58333333,19.27083333
0,12/8/2013,5.6,76.20833333,34.98333333
0,12/9/2013,3.35,57.375,31.79583333
0,12/10/2013,2.883333333,62.5,46.8
0,12/11/2013,3.816666667,51.91666667,29.075
0,12/12/2013,0.3,51.25,38.57916667
0,12/13/2013,2.645833333,51.20833333,29.79166667
0,12/14/2013,2.104166667,54.20833333,20.0125
0,12/15/2013,2.229166667,53.125,7.945833333
0,12/16/2013,2.820833333,62.375,18.97916667
0,12/17/2013,-0.416666667,66.875,36.94583333
0,12/18/2013,-1.941666667,66.375,41.5375
0,12/19/2013,-1.145833333,70.33333333,45.27083333
0,12/20/2013,-0.4,72.875,41.2875
0,12/21/2013,-0.283333333,68.54166667,27.30416667
0,12/22/2013,1.8375,62.79166667,20.51666667
0,12/23/2013,0.454166667,65.29166667,27.8125
0,12/24/2013,2.25,66,15.82083333
0,12/25/2013,1.075,69.375,41.78333333
0,12/26/2013,-1.2,60.125,39.82916667
0,12/27/2013,-0.616666667,54.91666667,15.25833333
0,12/28/2013,2.066666667,55.16666667,37.21666667
0,12/29/2013,4.8875,58.16666667,39.175
0,12/30/2013,5.3375,56.70833333,36.84583333
0,12/31/2013,6.254166667,62.625,38.96666667
0,1/1/2014,5.195833333,63.75,25.89583333
0,1/2/2014,5.845833333,74.41666667,35.55833333
0,1/3/2014,1.1875,51.41666667,24.10833333
0,1/4/2014,3.354166667,63.79166667,18.17916667
0,1/5/2014,3.270833333,72,15.85416667
0,1/6/2014,4.8625,79.625,17.1875
0,1/7/2014,-0.608333333,62.41666667,43.83333333
0,1/8/2014,-3.220833333,52.25,30.19166667
0,1/9/2014,0.545833333,46.41666667,30.125
0,1/10/2014,2.354166667,54.54166667,26.17083333
0,1/11/2014,0.154166667,60.25,37.55
0,1/12/2014,-2.895833333,61.91666667,20.24166667
0,1/13/2014,1.229166667,54.29166667,11.27083333
0,1/14/2014,1.9375,61.20833333,20.17083333
0,1/15/2014,3.491666667,65.5,17.82083333
0,1/16/2014,1.320833333,76.79166667,20.42916667
0,1/17/2014,0.3125,65.91666667,30.25416667
0,1/18/2014,0.195833333,59.25,21.79583333
0,1/19/2014,1.270833333,66.625,38.52083333
0,1/20/2014,-2.991666667,61.16666667,41.95
0,1/21/2014,1.1,55.58333333,28.2875
0,1/22/2014,4.35,65.91666667,34.93333333
0,1/23/2014,5.366666667,77.20833333,29.3375
0,1/24/2014,2.470833333,73.16666667,39.75833333
0,1/25/2014,-2.033333333,47.125,29.16666667
0,1/26/2014,2.845833333,66.45833333,38.80416667
0,1/27/2014,0.408333333,55.16666667,33.92916667
0,1/28/2014,1.616666667,64.875,31.33333333
0,1/29/2014,3.958333333,75.625,32.25
0,1/30/2014,2.283333333,59.66666667,29.45833333
0,1/31/2014,4.154166667,85.95833333,37.6875
0,2/1/2014,3.879166667,84.875,23.725
0,2/2/2014,-1.783333333,44.79166667,42.82916667
0,2/3/2014,-3.308333333,46.66666667,17.98333333
0,2/4/2014,-2.408333333,45.91666667,16.3
0,2/5/2014,-0.65,55.29166667,19.5625
0,2/6/2014,-1.379166667,53.08333333,28.5875
0,2/7/2014,-2.4375,61.58333333,32.375
0,2/8/2014,-4.1,59.58333333,49.3125
0,2/9/2014,-5.433333333,58.45833333,44.01666667
0,2/10/2014,-3.495833333,52.70833333,19.10833333
0,2/11/2014,-1.070833333,53,12.475
0,2/12/2014,-1.125,53.125,27.26666667
0,2/13/2014,-0.241666667,50.83333333,9.6875
0,2/14/2014,2.383333333,66.16666667,18.35833333
0,2/15/2014,3.25,77.625,18.5125
0,2/16/2014,1.620833333,60.375,33.55
0,2/17/2014,-0.7875,50.25,33.98333333
0,2/18/2014,-0.0125,51.66666667,15.1875
0,2/19/2014,-0.7,52.5,23.4625
0,2/20/2014,1.5125,63.58333333,14.05
0,2/21/2014,3.445833333,80.875,13.85833333
0,2/22/2014,2.375,86.70833333,6.933333333
0,2/23/2014,3.379166667,84.83333333,16.3625
0,2/24/2014,4.179166667,86.54166667,15.1125
0,2/25/2014,4.579166667,82.54166667,20.70416667
0,2/26/2014,3.8125,76.95833333,33.99166667
0,2/27/2014,1.016666667,46.79166667,29.89583333
0,2/28/2014,1.879166667,55.875,16.59583333
0,3/1/2014,2.166666667,61.91666667,12.8125
0,3/2/2014,3.6875,76.58333333,19.90833333
0,3/3/2014,4.4875,70.33333333,39.85833333
0,3/4/2014,1.820833333,60,23.77916667
0,3/5/2014,1.479166667,60.08333333,23.71666667
0,3/6/2014,0.979166667,48.25,16.15
0,3/7/2014,2.1875,69.66666667,19.2875
0,3/8/2014,1.595833333,75.20833333,24.77916667
0,3/9/2014,0.9,47.66666667,16.875
0,3/10/2014,5.1875,75.375,45.71666667
0,3/11/2014,4.366666667,70.33333333,31.70833333
0,3/12/2014,2.679166667,59.875,34.4125
0,3/13/2014,2.9625,66.83333333,17.36666667
0,3/14/2014,5.229166667,70.04166667,32.63333333
0,3/15/2014,5.7875,77.75,32.77083333
0,3/16/2014,8.1,79,44.0625
0,3/17/2014,5.154166667,75.5,39.48333333
0,3/18/2014,5.3125,68.125,25.4375
0,3/19/2014,5.091666667,60.66666667,44.5
0,3/20/2014,4.75,69.875,30.59583333
0,3/21/2014,6.320833333,73.41666667,34.05
0,3/22/2014,5.629166667,84.29166667,13.53333333
0,3/23/2014,6.429166667,83.16666667,26.775
0,3/24/2014,7.5,85.95833333,25.49583333
0,3/25/2014,5.6,97.41666667,14.72083333
0,3/26/2014,6.970833333,95.5,19.67083333
0,3/27/2014,9.479166667,71.625,42.87083333
0,3/28/2014,8.0125,90.91666667,32.94166667
0,3/29/2014,7.741666667,79.70833333,34.92083333
0,3/30/2014,7.041666667,85.29166667,15.0875
0,3/31/2014,8.075,76.16666667,31.0125
0,4/1/2014,8.891666667,72.41666667,32.825
0,4/2/2014,7.504166667,69.20833333,36.275
